	precision	recall	f1-score	support
AGAINST	0.8823529411764706	0.625	0.7317073170731708	72.0
FAVOR	0.6060606060606061	0.625	0.6153846153846154	32.0
NONE	0.7557251908396947	0.8918918918918919	0.8181818181818182	111.0
accuracy	0.7627906976744186	0.7627906976744186	0.7627906976744186	0.7627906976744186
macro avg	0.7480462460255904	0.713963963963964	0.7217579168798682	215.0
weighted avg	0.7758551039155879	0.7627906976744186	0.7590391457663155	215.0
