	AGAINST	FAVOR	NONE	accuracy	macro avg	weighted avg
precision	0.358974358974359	0.7752808988764045	0.6326530612244898	0.6440677966101694	0.5889694396917511	0.6518642400243184
recall	0.4	0.7582417582417582	0.6078431372549019	0.6440677966101694	0.5886949651655534	0.6440677966101694
f1-score	0.37837837837837845	0.7666666666666667	0.62	0.6440677966101694	0.5883483483483484	0.647626609660508
support	35.0	91.0	51.0	0.6440677966101694	177.0	177.0
