	precision	recall	f1-score	support
AGAINST	0.8333333333333334	0.2777777777777778	0.4166666666666667	72.0
FAVOR	0.4473684210526316	0.53125	0.4857142857142857	32.0
NONE	0.6666666666666666	0.918918918918919	0.7727272727272727	111.0
accuracy	0.6465116279069767	0.6465116279069767	0.6465116279069767	0.6465116279069767
macro avg	0.6491228070175438	0.5759822322322322	0.5583694083694084	215.0
weighted avg	0.6898408812729498	0.6465116279069767	0.6107701600724855	215.0
