	overall_f1	dev_accuracy	fm_f1	fm_precision	fm_recall	saho_f1	saho_precision	saho_recall	sc_f1	sc_precision	sc_recall	fm_accuracy
0	0.3710890872716684		0.44594715117771994	0.44447102604997346	0.514108187134503	0.2864035087719298	0.37938596491228066	0.2833333333333333	0.38091660186535536	0.40225279106858053	0.41757518796992477	0.6271929824561403
1	0.39122762714867987		0.47831435678184914	0.5032429558745347	0.5396303258145363	0.3409774436090226	0.46008771929824555	0.35921052631578954	0.35439108105516776	0.31217627401837933	0.4274521531100478	0.6452850877192983
2												
3												
4												
5												
6												
7												
8												
9												
