	AGAINST	FAVOR	NONE	accuracy	macro avg	weighted avg
precision	0.5	0.8148148148148148	0.5151515151515151	0.6497175141242938	0.6099887766554434	0.6662196351461888
recall	0.42857142857142855	0.7252747252747253	0.6666666666666666	0.6497175141242938	0.6068376068376068	0.6497175141242938
f1-score	0.4615384615384615	0.7674418604651162	0.5811965811965812	0.6497175141242938	0.6033923010667196	0.6532885937694766
support	35.0	91.0	51.0	0.6497175141242938	177.0	177.0
