	AGAINST	FAVOR	NONE	accuracy	macro avg	weighted avg
precision	0.425531914893617	0.7792207792207793	0.6037735849056604	0.632768361581921	0.6028420930066855	0.6587297218110519
recall	0.5714285714285714	0.6593406593406593	0.6274509803921569	0.632768361581921	0.6194067370537959	0.632768361581921
f1-score	0.4878048780487805	0.7142857142857143	0.6153846153846154	0.632768361581921	0.6058250692397035	0.6410044413351565
support	35.0	91.0	51.0	0.632768361581921	177.0	177.0
