	AGAINST	FAVOR	NONE	accuracy	macro avg	weighted avg
precision	0.2857142857142857	0.6259541984732825	0.71875	0.615819209039548	0.5434728280625227	0.5854128930003881
recall	0.11428571428571428	0.9010989010989011	0.45098039215686275	0.615819209039548	0.48878833584715936	0.615819209039548
f1-score	0.16326530612244897	0.7387387387387387	0.5542168674698795	0.615819209039548	0.4854069707770224	0.5717772383077673
support	35.0	91.0	51.0	0.615819209039548	177.0	177.0
