	overall_f1	dev_accuracy	fm_f1	fm_precision	fm_recall	saho_f1	saho_precision	saho_recall	sc_f1	sc_precision	sc_recall
0	0.4445711079044411	0.7316666666666667	0.612780784030784	0.6115277777777778	0.6506944444444444	0.29666666666666663	0.3347222222222222	0.2881944444444444	0.4242658730158729	0.4283333333333333	0.44736111111111104
1	0.45252084335417664	0.7583333333333332	0.6157804232804233	0.6122222222222222	0.648611111111111	0.34039682539682536	0.3784722222222222	0.3333333333333333	0.4013852813852814	0.4119444444444445	0.4194444444444444
2	0.4967835097001763	0.7733333333333334	0.6573809523809525	0.6694444444444444	0.682638888888889	0.4237169312169311	0.42083333333333334	0.44347222222222216	0.40925264550264545	0.41861111111111104	0.4404166666666666
3	0.4840969215969216	0.7683333333333331	0.6235479797979799	0.6256944444444444	0.65	0.4018181818181818	0.4194444444444444	0.40138888888888885	0.426924603174603	0.4431944444444444	0.4451388888888888
4	0.46665240623573945	0.7533333333333335	0.6425030062530063	0.6409722222222222	0.6698611111111111	0.38499999999999995	0.425	0.37013888888888885	0.37245421245421234	0.3911706349206349	0.37847222222222215
5	0.47935064935064925	0.7616666666666666	0.6192027417027416	0.6291666666666665	0.6333333333333333	0.3941666666666666	0.4138888888888889	0.40277777777777773	0.42468253968253966	0.4263888888888889	0.4527777777777777
6	0.4916213724547056	0.7649999999999996	0.6482768157768156	0.6623611111111111	0.6647222222222222	0.4230555555555554	0.4347222222222222	0.4333333333333334	0.4035317460317459	0.41777777777777775	0.42611111111111105
7	0.48162477954144617	0.7649999999999998	0.6295105820105821	0.6340277777777779	0.6663888888888889	0.4052447089947089	0.4097222222222222	0.41986111111111113	0.41011904761904755	0.425	0.4305555555555555
8	0.46966710758377417	0.7533333333333336	0.6012764550264549	0.6320833333333333	0.6143055555555555	0.4030555555555555	0.4236111111111111	0.4027777777777778	0.40466931216931207	0.4222222222222223	0.4191666666666667
9	0.45346440596440585	0.7200000000000001	0.5638852813852814	0.5902777777777778	0.5881944444444444	0.4240873015873014	0.43194444444444446	0.44097222222222215	0.3724206349206349	0.40277777777777773	0.3819444444444445
10	0.5036672278338943	0.7799999999999996	0.6531415343915342	0.6569444444444444	0.6754166666666667	0.4117027417027416	0.41527777777777775	0.4236111111111111	0.44615740740740734	0.4622222222222222	0.45624999999999993
11	0.5073356581689914	0.7633333333333332	0.6464249639249641	0.6513888888888889	0.68125	0.41464285714285704	0.4340277777777778	0.425	0.4609391534391533	0.4754166666666666	0.48611111111111105
12	0.512725869809203	0.76	0.6502543290043291	0.6479166666666666	0.6869444444444445	0.44208994708994703	0.4643055555555555	0.45000000000000007	0.44583333333333314	0.4388888888888889	0.4916666666666666
13	0.46591470258136924	0.7699999999999997	0.6181511544011544	0.6229166666666667	0.6319444444444444	0.3950595238095237	0.41875	0.3888888888888889	0.3845334295334294	0.38402777777777775	0.41583333333333333
14	0.49138327721661046	0.7833333333333333	0.6159620009620009	0.6275	0.6330555555555556	0.4118518518518518	0.4386111111111111	0.41250000000000003	0.44633597883597875	0.4597222222222222	0.45944444444444443
