	AGAINST	FAVOR	NONE	accuracy	macro avg	weighted avg
precision	0.7058823529411765	0.6949152542372882	0.6904761904761905	0.6949152542372882	0.6970912658848851	0.6958048373040685
recall	0.34285714285714286	0.9010989010989011	0.5686274509803921	0.6949152542372882	0.6041944983121453	0.6949152542372882
f1-score	0.46153846153846156	0.7846889952153111	0.6236559139784946	0.6949152542372882	0.6232944569107558	0.6743898097815972
support	35.0	91.0	51.0	0.6949152542372882	177.0	177.0
