	AGAINST	FAVOR	NONE	accuracy	macro avg	weighted avg
precision	0.3333333333333333	0.8	0.6857142857142857	0.5875706214689266	0.6063492063492063	0.6747914985203121
recall	0.6857142857142857	0.6153846153846154	0.47058823529411764	0.5875706214689266	0.5905623787976729	0.5875706214689266
f1-score	0.4485981308411215	0.6956521739130435	0.558139534883721	0.5875706214689266	0.5674632798792953	0.6071773936982824
support	35.0	91.0	51.0	0.5875706214689266	177.0	177.0
