	overall_f1	dev_accuracy	fm_f1	fm_precision	fm_recall	saho_f1	saho_precision	saho_recall	sc_f1	sc_precision	sc_recall
0	0.4666198121367585	0.6683114035087719	0.5158859451612425	0.5531423255107466	0.5700710108604846	0.4382262474367737	0.4960526315789473	0.4851817042606516	0.44574724381225933	0.41631161236424397	0.5260025062656642
1	0.43236349465777524	0.662280701754386	0.528767724861093	0.5841139124033861	0.5634607351712615	0.38900281005544163	0.4912280701754386	0.3840852130325814	0.37931994905679106	0.3537470570365307	0.4445175438596492
2	0.5790413016846943	0.7346491228070176	0.6729560553599172	0.6935565896092214	0.7012949039264829	0.5182891669733776	0.5554511278195489	0.5549812030075189	0.5458786827207881	0.551238892686261	0.5934210526315791
3	0.6357509950776206	0.7593201754385965	0.7397916454031006	0.7249060150375941	0.7770258980785297	0.559197235513025	0.630263157894737	0.5570802005012532	0.608264104316736	0.6372493734335838	0.6171888053467001
4	0.6096764103343051	0.7198464912280702	0.6687107483160115	0.6872493734335839	0.7588118022328549	0.636501364132943	0.6415413533834586	0.6762531328320802	0.5238171185539605	0.5495614035087719	0.5833959899749374
5	0.6715191928814219	0.7543859649122807	0.7969101675758022	0.8020082256924362	0.8533625730994152	0.6384646055698687	0.6951754385964911	0.6366228070175438	0.5791828054985949	0.6133458646616541	0.587719298245614
6	0.6207077522866997	0.7489035087719298	0.7433230512177882	0.7529410647831701	0.774279448621554	0.5941938178780285	0.6728070175438597	0.5631578947368421	0.5246063877642826	0.562437343358396	0.5530075187969926
7	0.641616295113525	0.7483552631578947	0.7698354776955886	0.7781223893065999	0.8074456975772765	0.5757420941631469	0.6050125313283208	0.5833333333333333	0.5792713134818397	0.5857427660059238	0.6391812865497076
8	0.6642981870020055	0.7532894736842105	0.7598070344974371	0.7575187969924813	0.8099310776942356	0.6540100250626568	0.6960526315789474	0.650438596491228	0.5790775014459225	0.6302944862155389	0.5932017543859649
9	0.6308375858054039	0.7379385964912281	0.7210305846182495	0.7275375939849623	0.7919153945469735	0.6389610389610392	0.682695374800638	0.6546251993620414	0.5325211338369233	0.5526315789473684	0.5752506265664159
