	precision	recall	f1-score	support
AGAINST	0.7540983606557377	0.6388888888888888	0.6917293233082706	72.0
FAVOR	0.5	0.625	0.5555555555555556	32.0
NONE	0.8157894736842105	0.8378378378378378	0.8266666666666665	111.0
accuracy	0.7395348837209302	0.7395348837209302	0.7395348837209302	0.7395348837209302
macro avg	0.6899626114466494	0.7005755755755755	0.6913171818434977	215.0
weighted avg	0.7481289002146999	0.7395348837209302	0.7411269258417361	215.0
