	AGAINST	FAVOR	NONE	accuracy	macro avg	weighted avg
precision	0.39285714285714285	0.7419354838709677	0.5714285714285714	0.632768361581921	0.5687403993855606	0.6237795829102554
recall	0.3142857142857143	0.7582417582417582	0.6274509803921569	0.632768361581921	0.5666594843065431	0.632768361581921
f1-score	0.34920634920634924	0.75	0.5981308411214953	0.632768361581921	0.5657790634426149	0.6269881080193135
support	35.0	91.0	51.0	0.632768361581921	177.0	177.0
