	overall_f1	dev_accuracy	fm_f1	fm_precision	fm_recall	saho_f1	saho_precision	saho_recall	sc_f1	sc_precision	sc_recall
0	0.2972914686475872	0.5504385964912281	0.40285845113733326	0.42622844991266046	0.41717646388699015	0.14085213032581453	0.23684210526315788	0.10745614035087721	0.34816382447961397	0.43452380952380953	0.31752297410192143
1	0.43692381734584773	0.6694078947368421	0.5012933570331324	0.5383643403380245	0.5445906432748537	0.3806390977443609	0.5289473684210527	0.3787593984962406	0.4288389972600499	0.425062656641604	0.45758145363408526
2	0.5984308656599678	0.7198464912280702	0.7234321431922052	0.7433141419983527	0.7757936507936508	0.5698906356801094	0.5904970760233919	0.6110902255639098	0.501969818107589	0.514546783625731	0.5306390977443609
3	0.6052496034734913	0.7214912280701755	0.7007783276868335	0.7193609022556391	0.7409147869674186	0.5523648865754128	0.6228070175438597	0.5460526315789473	0.5626055961582277	0.5991854636591478	0.5760964912280703
4	0.6320638009146238	0.724780701754386	0.7097440695473122	0.7238512949039265	0.7433166248955724	0.5506338690549218	0.5912280701754385	0.5762844611528821	0.6358134641416375	0.6345238095238095	0.6903508771929825
5	0.6173894273006217	0.7050438596491229	0.6857180654516486	0.6980557454241666	0.7541666666666669	0.5827257537783854	0.6387844611528822	0.5865914786967419	0.5837244626718312	0.637218045112782	0.6218671679197996
6	0.5945401090137932	0.7083333333333334	0.7551174702490493	0.7734620642515381	0.8028613199665834	0.4612902448428765	0.5494987468671679	0.45233918128654976	0.5672126119494539	0.6298245614035087	0.5658730158730159
7	0.5821524364868018	0.712171052631579	0.7106803327391562	0.748274094326726	0.7430118857750437	0.5157477025898078	0.5767543859649122	0.5548245614035088	0.5200292741314414	0.52796574770259	0.5431913116123642
8	0.6190642714005106	0.7269736842105263	0.7209014739628231	0.7378132832080201	0.7379803675856308	0.583974797132692	0.6723684210526316	0.6179511278195488	0.5523165431060169	0.6038220551378447	0.5553467000835423
9	0.6003186084068437	0.7012061403508771	0.7136967392772346	0.7016689450899977	0.7743421052631578	0.5355026552394975	0.5454260651629074	0.5847117794486216	0.5517564307037991	0.5613408521303258	0.5931390977443609
