	bert-large-uncased	roberta-large
0	[0.570138888888889, 0.42430555555555555, 0.4645833333333333]	[0.6569444444444444, 0.4430555555555555, 0.43958333333333327]
1	[0.5576388888888889, 0.46249999999999997, 0.42124999999999996]	[0.663611111111111, 0.4694444444444444, 0.5144444444444444]
2	[0.5818055555555557, 0.4222222222222223, 0.41388888888888886]	[0.6479166666666666, 0.4643055555555555, 0.4388888888888889]
3	[0.5922222222222223, 0.3944444444444445, 0.4083333333333333]	[0.6254166666666665, 0.47777777777777775, 0.443611111111111]
4	[0.5908333333333332, 0.4409722222222222, 0.43875000000000003]	[0.6418055555555554, 0.48138888888888887, 0.46222222222222226]
