	bert-large-uncased	roberta-large
0	[0.5527777777777777, 0.40555555555555556, 0.4568055555555556]	[0.663888888888889, 0.4305555555555555, 0.48541666666666666]
1	[0.5738888888888888, 0.4708333333333333, 0.44236111111111115]	[0.6754166666666667, 0.44375, 0.5159722222222222]
2	[0.611111111111111, 0.43194444444444446, 0.4263888888888888]	[0.6869444444444445, 0.45000000000000007, 0.4916666666666666]
3	[0.6330555555555556, 0.37013888888888885, 0.4427777777777778]	[0.6570833333333332, 0.4791666666666667, 0.4563888888888889]
4	[0.6490277777777778, 0.4527777777777777, 0.4425]	[0.6597222222222222, 0.4508333333333333, 0.4944444444444444]
