	bert-large-uncased	roberta-large
0	[0.5347619047619047, 0.4013888888888888, 0.44184523809523807]	[0.6429166666666667, 0.4292063492063491, 0.44325396825396823]
1	[0.5484854497354497, 0.45527777777777767, 0.4164351851851852]	[0.6581246993746994, 0.4472817460317459, 0.49829365079365057]
2	[0.5735383597883598, 0.41511904761904767, 0.40589285714285706]	[0.6502543290043291, 0.44208994708994703, 0.44583333333333314]
3	[0.5941696729196727, 0.36769841269841275, 0.4073280423280422]	[0.6234920634920633, 0.4672222222222222, 0.43827380952380945]
4	[0.5917129629629627, 0.4301984126984125, 0.42893518518518514]	[0.6325529100529099, 0.45428571428571407, 0.4614153439153437]
