	AGAINST	FAVOR	NONE	accuracy	macro avg	weighted avg
precision	0.4418604651162791	0.7582417582417582	0.6511627906976745	0.655367231638418	0.6170883380185705	0.6648272237550914
recall	0.5428571428571428	0.7582417582417582	0.5490196078431373	0.655367231638418	0.616706169647346	0.655367231638418
f1-score	0.48717948717948717	0.7582417582417583	0.5957446808510639	0.655367231638418	0.6137219754241031	0.6578206823428606
support	35.0	91.0	51.0	0.655367231638418	177.0	177.0
