	precision	recall	f1-score	support
AGAINST	0.7241379310344828	0.8235294117647058	0.7706422018348623	51.0
FAVOR	0.8648648648648649	0.7933884297520661	0.8275862068965518	121.0
NONE	0.5384615384615384	0.5833333333333334	0.5599999999999999	36.0
accuracy	0.7644230769230769	0.7644230769230769	0.7644230769230769	0.7644230769230769
macro avg	0.7091547781202953	0.7334170582833685	0.7194094695771381	208.0
weighted avg	0.7738668197885705	0.7644230769230769	0.7673109775387535	208.0
