	AGAINST	FAVOR	NONE	accuracy	macro avg	weighted avg
precision	0.47619047619047616	0.8194444444444444	0.6031746031746031	0.6610169491525424	0.6329365079365079	0.6892543269661914
recall	0.5714285714285714	0.6483516483516484	0.7450980392156863	0.6610169491525424	0.654959419665302	0.6610169491525424
f1-score	0.5194805194805195	0.7239263803680981	0.6666666666666666	0.6610169491525424	0.636691188838428	0.6670006711599724
support	35.0	91.0	51.0	0.6610169491525424	177.0	177.0
