	precision	recall	f1-score	support
AGAINST	0.7671232876712328	0.7777777777777778	0.7724137931034483	72.0
FAVOR	0.5625	0.5625	0.5625	32.0
NONE	0.8454545454545455	0.8378378378378378	0.841628959276018	111.0
accuracy	0.7767441860465116	0.7767441860465116	0.7767441860465116	0.7767441860465116
macro avg	0.7250259443752594	0.7260385385385385	0.7255142507931555	215.0
weighted avg	0.7771085174780619	0.7767441860465116	0.7769051515492384	215.0
