	AGAINST	FAVOR	NONE	accuracy	macro avg	weighted avg
precision	0.5714285714285714	0.7634408602150538	0.5892857142857143	0.6779661016949152	0.6413850486431132	0.6752920322493859
recall	0.45714285714285713	0.7802197802197802	0.6470588235294118	0.6779661016949152	0.6281404869640164	0.6779661016949152
f1-score	0.5079365079365079	0.7717391304347825	0.6168224299065421	0.6779661016949152	0.6321660227592775	0.6749377546473256
support	35.0	91.0	51.0	0.6779661016949152	177.0	177.0
