	precision	recall	f1-score	support
AGAINST	0.7894736842105263	0.625	0.6976744186046512	72.0
FAVOR	0.5384615384615384	0.4375	0.4827586206896552	32.0
NONE	0.7272727272727273	0.8648648648648649	0.7901234567901235	111.0
accuracy	0.7209302325581395	0.7209302325581395	0.7209302325581395	0.7209302325581395
macro avg	0.6850693166482641	0.642454954954955	0.6568521653614766	215.0
weighted avg	0.7200006847497669	0.7209302325581395	0.713416454443291	215.0
