	bert-base-uncased	roberta-base
0	[0.7622905903865657, 0.6028670160249108, 0.5653925022346077]	[0.7470581088655881, 0.5990810359231411, 0.554393783031554]
1	[0.7097440695473122, 0.5506338690549218, 0.6358134641416375]	[0.7862846218109377, 0.6511752867016025, 0.5997265892002736]
2	[0.7020159692027054, 0.563729837414048, 0.6001483032564995]	[0.7782297380981591, 0.638262322472849, 0.5445236394152804]
3	[0.6670437518775468, 0.5508771929824562, 0.5729077939604255]	[0.8043051016388967, 0.6475978699662912, 0.5634076449865925]
4	[0.7301695977514782, 0.6527199408778358, 0.5469861322028505]	[0.7969101675758022, 0.6384646055698687, 0.5791828054985949]
