	bert-base-uncased	roberta-base
0	[0.7128028404344193, 0.6447368421052633, 0.5692564745196323]	[0.7583646616541353, 0.6753759398496241, 0.6364661654135337]
1	[0.6934485835801625, 0.6541353383458647, 0.6260338345864662]	[0.7657999164578113, 0.6021929824561404, 0.5546052631578948]
2	[0.6781015037593986, 0.6897869674185464, 0.6552318295739349]	[0.7662385129490393, 0.7096491228070176, 0.6381787802840435]
3	[0.7574437988911674, 0.6160192147034252, 0.592314118629908]	[0.7512740183792815, 0.6618421052631579, 0.594674185463659]
4	[0.7636173767752714, 0.5026315789473684, 0.5615288220551379]	[0.7659764942659679, 0.6115497076023392, 0.5795739348370926]
