	bert-base-uncased	roberta-base
0	[0.8204963165489482, 0.6460526315789474, 0.6413533834586467]	[0.8628341687552216, 0.7003759398496241, 0.6881578947368422]
1	[0.79156223893066, 0.669047619047619, 0.6702380952380953]	[0.866906850459482, 0.5881578947368421, 0.6078947368421053]
2	[0.7344715956558062, 0.6758771929824562, 0.6742898913951546]	[0.8432814992025519, 0.724968671679198, 0.6724937343358397]
3	[0.7790781586834218, 0.5663847117794486, 0.6411236424394319]	[0.8447026657552974, 0.5966165413533835, 0.649498746867168]
4	[0.7466791979949875, 0.45394736842105265, 0.5421783625730994]	[0.7964912280701754, 0.5658416875522139, 0.6174812030075189]
