	bert-base-uncased	roberta-base
0	[0.7312441290626887, 0.6182900432900433, 0.5657953926651987]	[0.778632847607917, 0.675573111099427, 0.6397060541797385]
1	[0.6946512897690184, 0.633967202388255, 0.6231359283990863]	[0.7828922193927581, 0.5684818105870738, 0.563554943508504]
2	[0.6753295552057162, 0.6592105263157897, 0.6305975500247948]	[0.7877072966353241, 0.6893670656828553, 0.6222780917053363]
3	[0.7426920301920303, 0.5552956589334299, 0.5893652899885587]	[0.762862195966726, 0.6096453254347992, 0.5891572651634571]
4	[0.7407049348999813, 0.4473779144831777, 0.5253759398496242]	[0.7599431571180798, 0.5605840066366382, 0.5787516192640847]
