	AGAINST	FAVOR	NONE	accuracy	macro avg	weighted avg
precision	0.5517241379310345	0.788235294117647	0.6031746031746031	0.6836158192090396	0.6477113450744283	0.6881449794022421
recall	0.45714285714285713	0.7362637362637363	0.7450980392156863	0.6836158192090396	0.6461682108740933	0.6836158192090396
f1-score	0.5	0.7613636363636365	0.6666666666666666	0.6836158192090396	0.6426767676767677	0.6823959938366718
support	35.0	91.0	51.0	0.6836158192090396	177.0	177.0
