	AGAINST	FAVOR	NONE	accuracy	macro avg	weighted avg
precision	0.4473684210526316	0.8023255813953488	0.5660377358490566	0.655367231638418	0.6052439127656789	0.6640533738537895
recall	0.4857142857142857	0.7582417582417582	0.5882352941176471	0.655367231638418	0.6107304460245637	0.655367231638418
f1-score	0.4657534246575342	0.7796610169491525	0.576923076923077	0.655367231638418	0.6074458395099213	0.6591728775619407
support	35.0	91.0	51.0	0.655367231638418	177.0	177.0
